Date,Line,Station,on_board,getting_off
20240301,5호선,마곡,6339,6232
20240301,5호선,송정,4592,4484
20240301,5호선,김포공항,9270,8503
20240301,5호선,개화산,3652,3462
20240301,5호선,방화,4694,4371
20240301,4호선,남태령,979,619
20240301,4호선,사당,20651,18840
20240301,4호선,총신대입구(이수),13281,14137
20240301,4호선,동작(현충원),798,1042
20240301,4호선,이촌(국립중앙박물관),8742,8965
20240301,4호선,신용산,14781,15928
20240301,4호선,삼각지,5373,6628
20240301,4호선,숙대입구(갈월),9691,9248
20240301,4호선,서울역,7140,17760
20240301,4호선,회현(남대문시장),24128,25067
20240301,4호선,명동,30270,33981
20240301,4호선,충무로,16203,17132
20240301,4호선,동대문역사문화공원(DDP),16984,14452
20240301,4호선,동대문,19178,19625
20240301,4호선,혜화,32592,33565
20240301,4호선,한성대입구(삼선교),9470,9600
20240301,4호선,성신여대입구(돈암),16870,16276
20240301,4호선,길음,13773,12868
20240301,4호선,미아사거리,20064,19277
20240301,4호선,미아(서울사이버대학),10357,9651
20240301,4호선,수유(강북구청),25422,25234
20240301,4호선,쌍문,19904,17738
20240301,4호선,창동,19150,19865
20240301,4호선,노원,21646,24068
20240301,4호선,상계,13236,12167
20240301,4호선,당고개,6944,6206
20240301,3호선,오금,3438,3112
20240301,3호선,경찰병원,3633,3461
20240301,3호선,가락시장,5819,5491
20240301,3호선,수서,13506,13503
20240301,3호선,일원,4668,4433
20240301,3호선,대청,5632,5325
20240301,3호선,학여울,2886,3108
20240301,3호선,대치,7722,7205
20240301,3호선,도곡,2614,2737
20240301,3호선,매봉,5756,5544
20240301,3호선,양재(서초구청),16501,18172
20240301,3호선,남부터미널(예술의전당),19344,19627
20240301,3호선,교대(법원.검찰청),7254,3865
20240301,3호선,고속터미널,57399,58218
20240301,3호선,잠원,2667,2567
20240301,3호선,신사,15700,16762
20240301,3호선,압구정,17145,18593
20240301,3호선,옥수,6020,6014
20240301,3호선,금호,5587,5268
20240301,3호선,약수,9129,8568
20240301,3호선,동대입구,7758,8379
20240301,3호선,충무로,8,0
20240301,3호선,을지로3가,6677,7066
20240301,3호선,종로3가,8263,10666
20240301,3호선,안국,22183,22598
20240301,3호선,경복궁(정부서울청사),23410,24675
20240301,3호선,독립문,14882,15762
20240301,3호선,홍제,12860,12066
20240301,3호선,녹번,9434,8442
20240301,3호선,불광,12569,13675
20240301,3호선,연신내,25518,24430
20240301,3호선,구파발,15348,15533
20240301,3호선,지축,4767,4351
20240301,2호선,용두(동대문구청),1877,1743
20240301,2호선,신정네거리,6785,6740
20240301,2호선,양천구청,4058,3943
20240301,2호선,도림천,756,781
20240301,2호선,신설동,3278,3036
20240301,2호선,신답,952,953
20240301,2호선,용답,2156,1974
20240301,2호선,충정로(경기대입구),5305,5463
20240301,2호선,아현,7047,6483
20240301,2호선,이대,11058,11593
20240301,2호선,신촌,29816,30673
20240301,2호선,홍대입구,80978,89557
20240301,2호선,합정,28569,32152
20240301,2호선,당산,10000,11058
20240301,2호선,영등포구청,12385,12871
20240301,2호선,문래,11334,11959
20240301,2호선,신도림,37526,37493
20240301,2호선,대림(구로구청),16260,17023
20240301,2호선,구로디지털단지,32116,31248
20240301,2호선,신대방,18620,17174
20240301,2호선,신림,42326,40320
20240301,2호선,봉천,16458,14717
20240301,2호선,서울대입구(관악구청),33342,31581
20240301,2호선,낙성대(강감찬),20421,18541
20240301,2호선,사당,29188,31898
20240301,2호선,방배,7494,2738
20240301,2호선,서초,8245,7199
20240301,2호선,교대(법원.검찰청),12451,15237
20240301,2호선,강남,44756,44224
20240301,2호선,역삼,15689,17263
20240301,2호선,선릉,20403,17807
20240301,2호선,삼성(무역센터),38457,37081
20240301,2호선,종합운동장,5818,6671
20240301,2호선,잠실새내,16740,17199
20240301,2호선,잠실(송파구청),77125,74093
20240301,2호선,잠실나루,7142,6903
20240301,2호선,강변(동서울터미널),26093,26998
20240301,2호선,구의(광진구청),16558,15632
20240301,2호선,건대입구,35166,37447
20240301,2호선,성수,29727,32872
20240301,2호선,뚝섬,17767,17808
20240301,2호선,한양대,3290,3345
20240301,2호선,왕십리(성동구청),12148,12156
20240301,2호선,상왕십리,9728,8988
20240301,2호선,신당,12018,13051
20240301,2호선,동대문역사문화공원(DDP),14938,16120
20240301,2호선,을지로4가,8621,8859
20240301,2호선,을지로3가,13602,13094
20240301,2호선,을지로입구,29779,29347
20240301,2호선,시청,13888,9958
20240301,1호선,동묘앞,11477,12300
20240301,1호선,청량리(서울시립대입구),19846,19929
20240301,1호선,제기동,14515,15172
20240301,1호선,신설동,9387,8862
20240301,1호선,동대문,11882,11919
20240301,1호선,종로5가,23606,21494
20240301,1호선,종로3가,23467,24004
20240301,1호선,종각,23248,22036
20240301,1호선,시청,24464,23887
20240301,1호선,서울역,45448,45866
20240301,9호선,염창,11394,10271
20240301,9호선,신목동,2236,1913
20240301,9호선,선유도,3898,3873
20240301,9호선,당산,12300,11327
20240301,9호선,국회의사당,6553,6075
20240301,9호선,여의도,15353,13823
20240301,9호선,샛강,2875,2719
20240301,9호선,노량진,19701,19084
20240301,9호선,노들,3174,2568
20240301,9호선,흑석(중앙대입구),5676,5424
20240301,9호선,동작(현충원),1665,2792
20240301,9호선,구반포,514,516
20240301,9호선,신반포,2458,2369
20240301,9호선,고속터미널,14190,23892
20240301,9호선,사평,2398,2273
20240301,9호선,신논현,21919,22174
20240301,9호선2~3단계,언주,5442,5486
